"from","to","target","source"
"Yoshiro Matsumoto","Kazuki Yao",39,38
"Yoshiro Matsumoto","Yuichi Nakamura",45,38
"Yoshiro Matsumoto","Aki Toyosaki",40,38
"Yoshiro Matsumoto","Akio Otsuka",183,38
"Minako Kotobuki","Takahiro Fujiwara",37,36
"Minako Kotobuki","Kazuki Yao",39,36
"Minako Kotobuki","Yuichi Nakamura",45,36
"Minako Kotobuki","Aki Toyosaki",40,36
"Minako Kotobuki","Akio Otsuka",183,36
"Takahiro Fujiwara","Kazuki Yao",39,37
"Takahiro Fujiwara","Yuichi Nakamura",45,37
"Takahiro Fujiwara","Aki Toyosaki",40,37
"Takahiro Fujiwara","Akio Otsuka",183,37
"Kazuki Yao","Yuichi Nakamura",45,39
"Kazuki Yao","Aki Toyosaki",40,39
"Kazuki Yao","Akio Otsuka",183,39
"Yuichi Nakamura","Aki Toyosaki",40,45
"Yuichi Nakamura","Akio Otsuka",183,45
"Aki Toyosaki","Akio Otsuka",183,40
"Daisuke Ono","Maaya Sakamoto",46,14
"Daisuke Ono","Hiroki Touchi",20,14
"Daisuke Ono","Yuki Kaji",1,14
"Daisuke Ono","Emiri Kato",47,14
"Daisuke Ono","Koji Yusa",48,14
"Daisuke Ono","Shunji Fujimura",49,14
"Daisuke Ono","Yukari Tamura",50,14
"Daisuke Ono","Romi Park",15,14
"Daisuke Ono","Jun Fukuyama",57,14
"Maaya Sakamoto","Hiroki Touchi",20,46
"Maaya Sakamoto","Yuki Kaji",1,46
"Maaya Sakamoto","Emiri Kato",47,46
"Maaya Sakamoto","Koji Yusa",48,46
"Maaya Sakamoto","Shunji Fujimura",49,46
"Maaya Sakamoto","Yukari Tamura",50,46
"Maaya Sakamoto","Romi Park",15,46
"Maaya Sakamoto","Jun Fukuyama",57,46
"Hiroki Touchi","Yuki Kaji",1,20
"Hiroki Touchi","Emiri Kato",47,20
"Hiroki Touchi","Koji Yusa",48,20
"Hiroki Touchi","Shunji Fujimura",49,20
"Hiroki Touchi","Yukari Tamura",50,20
"Hiroki Touchi","Romi Park",15,20
"Hiroki Touchi","Jun Fukuyama",57,20
"Yuki Kaji","Emiri Kato",47,1
"Yuki Kaji","Koji Yusa",48,1
"Yuki Kaji","Shunji Fujimura",49,1
"Yuki Kaji","Yukari Tamura",50,1
"Yuki Kaji","Romi Park",15,1
"Yuki Kaji","Jun Fukuyama",57,1
"Emiri Kato","Koji Yusa",48,47
"Emiri Kato","Shunji Fujimura",49,47
"Emiri Kato","Yukari Tamura",50,47
"Emiri Kato","Romi Park",15,47
"Emiri Kato","Jun Fukuyama",57,47
"Koji Yusa","Shunji Fujimura",49,48
"Koji Yusa","Yukari Tamura",50,48
"Koji Yusa","Romi Park",15,48
"Koji Yusa","Jun Fukuyama",57,48
"Shunji Fujimura","Yukari Tamura",50,49
"Shunji Fujimura","Romi Park",15,49
"Shunji Fujimura","Jun Fukuyama",57,49
"Yukari Tamura","Romi Park",15,50
