"from","to","target","source"
"Boman Irani","Naseeruddin Shah",1,99
"Boman Irani","Kabir Bedi",171,99
"Bindu","Naseeruddin Shah",1,100
"Bindu","Kabir Bedi",171,100
"Naseeruddin Shah","Kabir Bedi",171,1
"Rajpal Yadav","Rituparna Sengupta",102,101
"Rajpal Yadav","Kay Kay Menon",103,101
"Rajpal Yadav","Varun Bandola",104,101
"Rajpal Yadav","Vinod Nagpal",105,101
"Rajpal Yadav","Naseeruddin Shah",1,101
"Rituparna Sengupta","Kay Kay Menon",103,102
"Rituparna Sengupta","Varun Bandola",104,102
"Rituparna Sengupta","Vinod Nagpal",105,102
"Rituparna Sengupta","Naseeruddin Shah",1,102
"Kay Kay Menon","Varun Bandola",104,103
"Kay Kay Menon","Vinod Nagpal",105,103
"Kay Kay Menon","Naseeruddin Shah",1,103
"Varun Bandola","Vinod Nagpal",105,104
"Varun Bandola","Naseeruddin Shah",1,104
"Vinod Nagpal","Naseeruddin Shah",1,105
"Shabana Azmi","Smita Patil",33,106
"Shabana Azmi","Naseeruddin Shah",1,106
"Shabana Azmi","Amrish Puri",107,106
"Shabana Azmi","Kulbhushan Kharbanda",108,106
"Shabana Azmi","Saeed Jaffrey",109,106
"Shabana Azmi","Om Puri",110,106
"Shabana Azmi","Sreela Mazumdar",111,106
"Shabana Azmi","Neena Gupta",141,106
"Smita Patil","Naseeruddin Shah",1,33
"Smita Patil","Amrish Puri",107,33
"Smita Patil","Kulbhushan Kharbanda",108,33
"Smita Patil","Saeed Jaffrey",109,33
"Smita Patil","Om Puri",110,33
"Smita Patil","Sreela Mazumdar",111,33
"Smita Patil","Neena Gupta",141,33
"Naseeruddin Shah","Amrish Puri",107,1
"Naseeruddin Shah","Kulbhushan Kharbanda",108,1
"Naseeruddin Shah","Saeed Jaffrey",109,1
"Naseeruddin Shah","Om Puri",110,1
"Naseeruddin Shah","Sreela Mazumdar",111,1
"Naseeruddin Shah","Neena Gupta",141,1
"Amrish Puri","Kulbhushan Kharbanda",108,107
"Amrish Puri","Saeed Jaffrey",109,107
"Amrish Puri","Om Puri",110,107
"Amrish Puri","Sreela Mazumdar",111,107
"Amrish Puri","Neena Gupta",141,107
"Kulbhushan Kharbanda","Saeed Jaffrey",109,108
"Kulbhushan Kharbanda","Om Puri",110,108
